"user_id","rank"
2124,"C"
2127,"A"
2130,"C"
2133,"B"
2134,"C"
2137,"C"
2148,"C"
2151,"B"
2153,"C"
2154,"C"
2156,"C"
2160,"B"
2164,"C"
2168,"C"
2170,"C"
2181,"C"
2182,"C"
2183,"C"
2184,"C"
2185,"C"
2187,"C"
2190,"C"
2195,"C"
2198,"C"
2200,"C"
2201,"C"
2203,"C"
2208,"C"
2209,"C"
2210,"C"
2211,"C"
2214,"C"
2215,"C"
2216,"C"
2218,"C"
2219,"C"
2224,"C"
2225,"C"
2226,"A"
2234,"B"
2235,"B"
2236,"C"
2239,"C"
2240,"C"
2241,"C"
2242,"C"
2244,"C"
2246,"C"
2247,"B"
2250,"C"
2251,"C"
2252,"C"
2253,"C"
2257,"A"
2258,"C"
2261,"C"
2262,"B"
2265,"C"
2267,"C"
2268,"C"
2275,"B"
2276,"C"
2282,"C"
2292,"C"
2296,"C"
2297,"C"
2301,"C"
2303,"C"
2304,"C"
2306,"C"
2308,"A"
2311,"C"
2313,"C"
2314,"C"
2315,"C"
2316,"C"
2321,"C"
2322,"C"
2324,"C"
2326,"C"
2327,"C"
2330,"C"
2331,"C"
2333,"C"
2338,"C"
2347,"C"
2348,"C"
2349,"C"
2350,"A"
2353,"C"
2362,"C"
2363,"C"
2365,"C"
2367,"C"
2369,"C"
2372,"C"
2374,"C"
2375,"C"
2377,"C"
2378,"C"
2379,"C"
2380,"C"
2382,"C"
2383,"C"
2384,"C"
2387,"C"
2388,"C"
2390,"C"
2392,"C"
2399,"C"
2401,"C"
2403,"C"
2405,"C"
2407,"C"
2408,"C"
2410,"C"
2416,"B"
2418,"C"
2427,"C"
2431,"C"
2433,"C"
2438,"B"
2439,"C"
2442,"C"
2443,"C"
2445,"C"
2448,"C"
2450,"C"
2451,"C"
2452,"C"
2456,"C"
2460,"C"
2466,"C"
2467,"C"
2468,"C"
2472,"C"
2479,"B"
2481,"C"
2483,"C"
2485,"C"
2486,"C"
2487,"A"
2488,"C"
2495,"C"
2496,"A"
2497,"C"
2498,"C"
2499,"B"
2504,"C"
2505,"C"
2506,"C"
2507,"C"
2512,"C"
2517,"C"
2518,"C"
2521,"C"
2522,"C"
2524,"C"
2529,"C"
2531,"C"
2535,"C"
2537,"B"
2540,"C"
2541,"C"
2542,"B"
2543,"C"
2548,"C"
2550,"C"
2551,"A"
2552,"C"
2554,"C"
2556,"C"
2559,"C"
2561,"C"
2563,"C"
2564,"C"
2566,"C"
2568,"B"
2569,"C"
2570,"C"
2572,"C"
2577,"C"
2578,"C"
2581,"C"
2586,"C"
2589,"C"
2591,"C"
2592,"C"
2593,"C"
2594,"C"
2595,"B"
2602,"B"
2603,"C"
2605,"C"
2606,"C"
2609,"C"
2612,"C"
2613,"C"
2617,"C"
2621,"C"
2624,"C"
2627,"C"
2629,"C"
2631,"C"
2635,"C"
2637,"C"
2638,"C"
2639,"C"
2647,"AA"
2648,"AA"
2649,"C"
2650,"C"
2651,"C"
2652,"C"
2654,"C"
2660,"C"
2664,"C"
2666,"C"
2669,"C"
2670,"C"
2671,"C"
2674,"C"
2675,"C"
2676,"C"
2678,"C"
2680,"C"
2682,"C"
2683,"C"
2687,"C"
2691,"C"
2692,"C"
2695,"C"
2700,"C"
2705,"C"
2706,"C"
2707,"C"
2710,"B"
2713,"C"
2714,"C"
2715,"C"
2719,"C"
2723,"AA"
2724,"B"
2727,"C"
2728,"C"
2729,"C"
2735,"C"
2739,"C"
2743,"A"
2747,"A"
2752,"C"
2757,"B"
2761,"C"
2765,"C"
2768,"C"
2769,"C"
2772,"C"
2773,"C"
2775,"C"
2776,"C"
2777,"A"
2778,"C"
2779,"None"
2781,"B"
2783,"AA"
2787,"C"
2795,"C"
2796,"C"
2797,"C"
2799,"C"
2800,"C"
2801,"C"
2802,"C"
2809,"C"
2810,"C"
2814,"B"
2815,"C"
2816,"AAA"
2817,"C"
2821,"C"
2822,"C"
2823,"C"
2824,"C"
2825,"B"
2826,"C"
2827,"C"
2828,"C"
2830,"C"
2836,"C"
2841,"C"
2842,"C"
2843,"C"
2844,"C"
2848,"B"
2856,"A"
2857,"C"
2858,"C"
2859,"C"
2862,"C"
2867,"C"
2874,"C"
2878,"C"
2881,"C"
2887,"C"
2890,"C"
2893,"C"
2899,"C"
2902,"C"
2903,"C"
2907,"C"
2914,"C"
2916,"B"
2919,"C"
2920,"C"
2921,"C"
2934,"C"
2947,"C"
2948,"C"
2955,"B"
2956,"C"
2958,"C"
2959,"C"
2962,"B"
2964,"C"
2965,"C"
2967,"C"
2979,"C"
2983,"C"
2985,"C"
2990,"C"
2992,"C"
2994,"C"
3000,"B"
3004,"C"
3007,"C"
3008,"C"
3012,"C"
3044,"C"
3047,"C"
3050,"C"
3051,"C"
3054,"C"
3061,"C"
3062,"C"
3067,"C"
3075,"C"
3079,"C"
3081,"C"
3083,"C"
3091,"C"
3100,"C"
3104,"C"
3110,"C"
3112,"C"
3113,"C"
3122,"C"
3130,"C"
3135,"C"
3136,"C"
3137,"C"
3141,"C"
3143,"C"
3147,"C"
3161,"C"
3167,"C"
3169,"C"
3170,"C"
3174,"B"
3197,"C"
3198,"C"
3200,"C"
3204,"C"
3212,"C"
3213,"C"
3215,"C"
3218,"C"
3230,"C"
3239,"C"
3244,"C"
3253,"C"
3255,"C"
3256,"B"
3258,"C"
3263,"C"
3268,"C"
3270,"C"
3272,"B"
3276,"C"
3279,"C"
3288,"C"
3293,"C"
3294,"C"
3300,"C"
3313,"C"
3317,"C"
3322,"B"
3323,"C"
3324,"C"
3336,"C"
3340,"C"
3342,"C"
3343,"C"
3344,"C"
3346,"C"
3347,"C"
3366,"C"
3370,"C"
3373,"C"
3375,"B"
3377,"C"
3380,"A"
3394,"B"
3397,"C"
3403,"C"
3405,"C"
3407,"C"
3415,"C"
3431,"C"
3434,"B"
3444,"C"
3448,"C"
3450,"C"
3451,"B"
3456,"C"
3467,"C"
3471,"C"
3481,"B"
3482,"C"
3484,"C"
3488,"B"
3492,"C"
3502,"C"
3511,"C"
3512,"C"
3516,"C"
3517,"C"
3520,"C"
3521,"C"
3527,"C"
3530,"C"
3534,"B"
3538,"C"
3539,"C"
3541,"C"
3546,"B"
3548,"C"
3550,"C"
3554,"C"
3559,"C"
3564,"C"
3566,"C"
3567,"C"
3573,"C"
3575,"C"
3576,"C"
3577,"C"
3581,"C"
3583,"B"
3589,"C"
3593,"C"
3595,"C"
3598,"C"
3603,"C"
3617,"C"
3623,"None"
3626,"C"
3628,"C"
3631,"C"
3640,"C"
3642,"C"
3644,"C"
3646,"C"
3649,"B"
3651,"C"
3652,"C"
3658,"C"
3659,"B"
3660,"C"
3664,"C"
3670,"C"
3673,"C"
3675,"C"
3680,"C"
3686,"C"
3701,"C"
3704,"C"
3708,"C"
3712,"C"
3716,"C"
3721,"C"
3725,"B"
3726,"A"
3728,"C"
3729,"C"
3731,"C"
3733,"C"
3742,"C"
3751,"B"
3752,"None"
3753,"C"
3756,"C"
3758,"C"
3760,"C"
3763,"C"
3767,"C"
3771,"C"
3774,"C"
3776,"C"
3777,"C"
3781,"C"
3785,"B"
3787,"C"
3788,"B"
3803,"C"
3808,"C"
3814,"C"
3816,"C"
3822,"C"
3824,"C"
3828,"C"
3832,"C"
3834,"C"
3837,"B"
3838,"C"
3844,"C"
3852,"C"
3853,"C"
3857,"C"
3864,"C"
3866,"C"
3867,"C"
3871,"B"
3877,"C"
3888,"C"
3895,"C"
3898,"C"
3901,"C"
3903,"C"
3905,"B"
3906,"C"
3910,"AA"
3911,"C"
3912,"C"
3919,"C"
3927,"C"
3936,"C"
3944,"C"
3954,"C"
3958,"C"
3961,"C"
3965,"C"
3968,"C"
3978,"C"
3982,"C"
3983,"B"
3988,"A"
3991,"A"
3999,"B"
4014,"C"
4023,"C"
4027,"C"
4028,"B"
4029,"C"
4041,"C"
4042,"C"
4044,"C"
4061,"A"
4068,"C"
4071,"C"
4073,"B"
4074,"C"
4075,"C"
4078,"C"
4079,"C"
4083,"C"
4085,"C"
4091,"C"
4101,"C"
4102,"C"
4108,"C"
4111,"C"
4115,"C"
4116,"C"
4119,"C"
4120,"C"
4125,"C"
4132,"C"
4133,"C"
4134,"C"
4136,"C"
4142,"C"
4154,"C"
4162,"C"
4164,"C"
4165,"C"
4169,"C"
4171,"C"
4172,"B"
4180,"C"
4186,"C"
4189,"C"
4190,"C"
4191,"C"
4194,"A"
4195,"C"
4202,"C"
4206,"C"
4213,"AA"
4218,"C"
4222,"C"
4228,"C"
4229,"C"
4230,"C"
4236,"C"
4243,"C"
4244,"C"
4245,"C"
4249,"C"
4252,"C"
4253,"C"
4255,"C"
4257,"C"
4258,"C"
4259,"C"
4260,"B"
4264,"C"
4266,"B"
4268,"C"
4269,"C"
4271,"C"
4272,"B"
4273,"AA"
4279,"C"
4281,"C"
4285,"C"
4296,"C"
4297,"B"
4301,"B"
4306,"C"
4308,"C"
4309,"C"
4310,"C"
4314,"C"
4315,"C"
4316,"C"
4317,"C"
4320,"C"
4321,"C"
4323,"C"
4325,"C"
4327,"C"
4328,"C"
4329,"C"
4334,"C"
4335,"C"
4341,"B"
4342,"C"
4344,"C"
4345,"C"
4346,"C"
4347,"C"
4349,"A"
4350,"C"
4363,"B"
4364,"C"
4368,"C"
4370,"C"
4372,"B"
4373,"C"
4376,"C"
4377,"C"
4380,"C"
4383,"C"
4384,"C"
4386,"A"
4387,"C"
4390,"C"
4394,"C"
4395,"C"
4397,"C"
4402,"C"
4405,"C"
4409,"C"
4412,"C"
4418,"C"
4419,"C"
4423,"C"
4426,"B"
4427,"C"
4429,"C"
4440,"C"
4442,"C"
4443,"C"
4444,"C"
4445,"C"
4447,"C"
4451,"C"
4453,"C"
4457,"C"
4458,"C"
4460,"C"
4462,"C"
4463,"C"
4466,"C"
4468,"B"
4470,"C"
4472,"C"
4476,"C"
4478,"C"
4480,"C"
4481,"C"
4482,"C"
4483,"B"
4485,"C"
4486,"C"
4489,"C"
4490,"C"
4491,"C"
4494,"C"
4495,"C"
4497,"C"
4498,"C"
4499,"C"
4502,"C"
4505,"C"
4508,"C"
4510,"B"
4511,"C"
4514,"C"
4516,"C"
4517,"C"
4518,"C"
4519,"C"
4521,"C"
4523,"C"
4524,"C"
4525,"C"
4535,"C"
4540,"C"
4541,"C"
4544,"C"
4549,"C"
4561,"B"
4562,"C"
4566,"C"
4568,"C"
4569,"B"
4572,"C"
4574,"C"
4577,"B"
4579,"C"
4580,"B"
4581,"C"
4582,"C"
4584,"C"
4585,"C"
4586,"C"
4589,"C"
4592,"B"
4595,"C"
4596,"C"
4597,"C"
4598,"C"
4605,"C"
4610,"C"
4614,"B"
4615,"C"
4616,"C"
4618,"C"
4619,"C"
4623,"C"
4626,"C"
4628,"C"
4629,"C"
4636,"C"
4637,"C"
4638,"C"
4643,"C"
4644,"C"
4650,"A"
4652,"C"
4653,"C"
4656,"C"
4659,"C"
4661,"C"
4663,"C"
4664,"C"
4665,"C"
4667,"C"
4671,"B"
4680,"C"
4681,"C"
4684,"C"
4693,"C"
4694,"C"
4696,"C"
4700,"C"
4701,"C"
4705,"B"
4706,"C"
4709,"B"
4712,"B"
4715,"C"
4716,"B"
4718,"C"
4720,"C"
4721,"C"
4724,"C"
4737,"C"
4744,"C"
4749,"C"
4750,"C"
4753,"C"
4754,"C"
4757,"C"
