diff_zip,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,num_hvc,client_rank_label,signup_to_book_interval,booking_interval,income_level,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market
0,4.6,4.32,0.28,198.0,198.0,0.0,0.0,1,0,0,1,1,1,1,0,0,6,0,83,180,17628,1,1,0,0,0
0,3.13,3.73,-0.6,79.0,99.0,0.20202,0.0,0,0,1,1,0,0,0,1,0,6,0,90,19,17628,1,1,0,0,0
0,3.73,4.92,-1.19,198.0,99.0,0.0,0.0,1,1,0,0,1,0,0,0,0,6,0,1,0,17628,1,1,0,0,0
0,4.92,3.09,1.83,99.0,99.0,0.0,0.0,1,0,0,0,0,0,1,1,0,6,0,0,180,17628,1,0,0,0,0
0,4.96,4.28,0.68,29.0,99.0,0.707071,0.0,0,1,0,0,0,0,1,1,0,5,0,90,90,13832,0,1,0,0,0
0,2.54,3.17,-0.63,99.0,198.0,0.0,0.0,0,0,1,0,0,1,0,0,0,5,0,0,12,13832,1,0,0,0,0
0,4.92,4.92,0.0,99.0,99.0,0.0,0.0,1,0,0,0,0,0,1,1,0,5,0,90,34,13832,1,1,0,0,0
0,3.09,4.28,-1.19,99.0,99.0,0.0,0.0,1,0,0,1,0,0,1,0,0,5,0,90,3,13832,1,1,0,0,0
0,4.32,3.17,1.15,99.0,99.0,0.0,0.0,1,0,0,0,0,0,0,0,0,5,0,90,51,13832,1,1,0,0,0
0,4.96,4.32,0.64,119.0,129.0,0.14388499999999999,0.07194199999999999,0,0,1,1,0,0,1,1,0,5,0,90,14,13832,0,0,0,0,0
0,2.58,2.58,0.0,139.0,139.0,0.0,0.0,0,0,1,1,0,0,0,0,0,5,0,0,15,13832,0,0,0,0,0
0,3.17,3.17,0.0,99.0,99.0,0.0,0.0,0,0,0,0,0,0,0,1,0,20,0,0,2,24762,0,0,0,0,0
0,3.73,3.73,0.0,49.0,79.0,0.505051,0.20202,0,1,1,0,0,0,0,1,0,20,0,0,108,24762,1,1,0,0,0
1,2.46,3.13,-0.67,198.0,139.0,0.0,0.0,1,1,0,0,1,0,1,0,0,20,0,0,180,24762,1,1,0,0,0
0,3.13,3.21,-0.08,79.0,99.0,0.20202,0.0,0,0,1,1,0,0,0,0,0,20,0,90,14,24762,1,0,0,0,0
0,3.73,2.02,1.71,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,0,0,20,0,34,32,24762,1,1,0,0,0
0,4.92,4.03,0.89,173.0,278.0,0.103627,0.0,0,0,1,1,0,1,1,1,0,20,1,90,13,24762,1,1,0,0,0
0,4.28,4.92,-0.64,99.0,99.0,0.0,0.0,0,0,1,1,0,0,0,0,0,20,0,0,180,24762,1,1,0,0,0
1,1.9,4.32,-2.42,139.0,139.0,0.0,0.0,0,0,0,1,0,0,0,1,0,20,0,0,180,24762,1,1,0,0,0
