"user_id","sign_up_to_book","interval_between_bookings","hours_ahead1","hours_ahead2","median_income","diff_zip","city_id","quality_score1","quality_score2","quality_score_diff","revenue1","revenue2","discount_ratio1","discount_ratio2","prime_session1","prime_session2","late_session1","late_session2","couple1","couple2","weekend1","weekend2","special_request2","num_hvc","rank"
7350,0,0,5,5,52965,0,2,4.92,2.54,2.38,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,32,"C"
8582,399,26,1,14,52965,1,2,3.13,3.69,-0.56,69.00,243.00,0.303030,0.076046,1,0,0,0,0,0,1,1,0,32,"C"
8772,762,14,1,2,52965,1,2,3.09,3.09,0.00,49.00,99.00,0.505051,0.000000,0,1,1,0,0,0,0,0,1,32,"B"
8779,7,740,1,1,52965,0,2,4.01,4.92,-0.91,109.00,99.00,0.215827,0.000000,1,0,0,1,0,0,0,0,0,32,"C"
1458,4,7,103,106,68806,0,2,3.17,3.17,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,20,"AA"
1678,7,16,177,78,68806,0,2,2.75,2.54,0.21,198.00,79.00,0.000000,0.601010,0,0,1,1,1,1,0,1,0,20,"C"
1747,0,163,1,5,68806,0,2,4.92,1.90,3.02,99.00,198.00,0.000000,0.000000,1,1,0,0,0,1,0,0,0,20,"C"
2246,1,572,31,5,68806,0,2,2.85,3.71,-0.86,198.00,188.00,0.000000,0.050505,1,1,0,0,1,1,0,1,0,20,"C"
2261,0,8,1,1,68806,0,2,3.17,2.54,0.63,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,0,0,0,20,"C"
2778,610,17,1,0,68806,0,2,3.73,3.09,0.64,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,20,"C"
2867,27,157,1,1,68806,0,2,4.32,4.01,0.31,178.00,198.00,0.101010,0.000000,0,0,1,0,1,1,0,1,0,20,"C"
3538,84,152,3,1,68806,0,2,4.36,3.05,1.31,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,1,0,0,20,"C"
3725,106,16,1,1,68806,1,2,3.09,3.67,-0.58,99.00,198.00,0.000000,0.000000,1,1,0,0,0,1,0,1,0,20,"B"
3910,177,11,3,1,68806,0,2,3.09,4.92,-1.83,139.00,139.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,20,"AA"
4516,1,28,46,625,68806,0,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,20,"C"
4712,0,11,1,2,68806,0,2,3.73,4.03,-0.30,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,0,1,0,20,"B"
5129,0,1112,1,5,68806,1,2,3.73,2.54,1.19,79.00,129.00,0.202020,0.188679,0,0,1,1,0,0,0,0,0,20,"C"
5374,0,9,1,1,68806,0,2,3.17,3.73,-0.56,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,0,0,0,20,"C"
7342,124,508,5,3,68806,1,2,4.03,4.96,-0.93,198.00,99.00,0.000000,0.000000,1,0,0,1,1,0,0,1,0,20,"C"
8263,1,21,26,26,68806,0,2,3.17,3.17,0.00,169.00,278.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,20,"C"
8420,0,38,19,1,68806,0,2,1.90,3.13,-1.23,0.00,0.00,0.000000,0.000000,0,1,0,0,0,0,0,0,0,20,"C"
1123,3,146,72,2,43918,0,2,3.17,3.73,-0.56,594.00,594.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,17,"C"
1812,90,55,8,1,43918,0,2,4.36,1.78,2.58,79.00,99.00,0.202020,0.000000,0,0,1,1,0,0,0,0,0,17,"C"
3130,646,108,4,1,43918,0,2,3.81,3.43,0.38,139.00,278.00,0.000000,0.000000,1,0,0,1,0,1,0,1,0,17,"C"
4569,0,56,1,1,43918,0,2,4.92,3.13,1.79,99.00,139.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,17,"B"
5652,0,390,1,1,43918,0,2,3.17,3.69,-0.52,119.00,124.00,0.143885,0.107914,0,1,1,0,0,0,1,1,0,17,"C"
7186,0,124,11,4,43918,0,2,2.54,4.94,-2.40,99.00,198.00,0.000000,0.000000,0,1,1,0,0,1,0,1,0,17,"C"
7336,193,81,25,5,43918,0,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,1,0,17,"C"
8410,477,29,1,1,43918,1,2,4.92,4.36,0.56,198.00,139.00,0.000000,0.000000,0,1,0,0,1,0,1,1,0,17,"C"
727,0,29,2,2,54878,0,2,2.54,2.54,0.00,278.00,198.00,0.000000,0.000000,0,1,1,0,1,1,1,0,0,17,"C"
2438,1037,44,1,1,54878,0,2,4.32,4.96,-0.64,5.00,0.00,0.951923,1.000000,1,1,0,0,0,0,0,1,0,17,"B"
2650,324,98,1,4,54878,1,2,3.99,3.15,0.84,163.00,168.00,0.176768,0.151515,0,1,1,0,1,1,1,1,0,17,"C"
2874,1,383,20,123,54878,0,2,3.75,4.92,-1.17,198.00,198.00,0.000000,0.000000,1,1,0,0,1,1,0,0,0,17,"C"
3658,0,171,2,1,54878,0,2,2.58,4.52,-1.94,278.00,118.00,0.000000,0.404040,0,0,1,1,1,1,0,0,0,17,"C"
4684,2,0,61,5,54878,0,2,3.17,3.09,0.08,139.00,139.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,17,"C"
4693,772,168,3,5,54878,0,2,4.96,3.69,1.27,69.00,99.00,0.303030,0.000000,0,0,1,1,0,0,0,0,0,17,"C"
