diff_zip,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market,signup_to_book_interval,booking_interval,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,income_level,num_hvc
0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0.577777778,0.618,0.5,0.559475806,0.142857143,0.14983165,0,0.10101,0.176517518,0
0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.083333333,0.992,0.992,0.5,0.142857143,0.166666667,0,0,0.745570177,0.056179775
0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.011111111,0,0.718,0.98,0.367943548,0.3001443,0.35016835,0,0,0.152121193,0.02247191
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.038888889,0.864,0.5,0.683467742,0.142857143,0.166666667,0,0,0.170660949,0.179775281
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.088888889,0.394444444,0.992,0.738,0.628024194,0.0995671,0.166666667,0.30303,0,0.282098936,0.191011236
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.033333333,0.016666667,0.516,0.682,0.416330645,0.219134199,0.246464646,0,0.033025,0.222264026,0.02247191
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.311111111,0.992,0.992,0.5,0.0995671,0.166666667,0.30303,0,0.284913897,0.382022472
0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0.266666667,0.305555556,0.634,0.618,0.508064516,0.056277056,0.116161616,0.606061,0.30303,0.219820767,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111,0.044444444,0.436,0,0.719758065,0,0,1,1,0.1324482,0.269662921
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.011111111,0.255555556,0.516,0.634,0.440524194,0.200577201,0.234006734,0,0,0.278771752,0
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.61,0.984,0.311491935,0,0,1,1,0.745570177,0.056179775
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.022222222,0.188888889,0.634,0.634,0.5,0,0,0,0,0.296749423,0.134831461
