user_id,interval_between_bookings,not_book_interval,rank
86449,118,118,B
86472,99,99,B
86578,NULL,111,C
86607,161,161,C
86631,164,164,B
86668,62,62,C
86831,NULL,75,B
86919,1,1,AA
86998,NULL,95,B
87132,NULL,174,C
87153,12,12,B
87507,119,119,B
87577,NULL,152,C
87881,84,84,B
87927,0,0,A
87933,28,28,B
88040,6,6,A
88219,200,200,C
88228,65,65,B
88483,102,102,B
88489,34,34,AA
88647,NULL,187,C
88681,19,19,B
89043,7,7,A
89077,20,20,A
89098,9,9,B
89110,NULL,142,B
89155,NULL,203,C
89186,NULL,42,C
89253,NULL,64,B
89715,65,65,B
89733,NULL,110,C
89886,NULL,8,B
90081,NULL,19,B
90105,NULL,96,C
90165,NULL,174,C
90177,NULL,102,C
90308,NULL,336,C
90477,NULL,13,B
90522,45,45,A
90546,32,32,B
90791,NULL,102,C
90895,129,129,C
90941,48,48,B
91051,NULL,83,B
91162,NULL,231,C
91212,NULL,202,C
91218,NULL,50,C
91304,24,24,B
91426,NULL,19,B
91446,16,16,B
91466,17,17,A
91582,2,2,AA
91709,55,55,B
91773,NULL,162,C
91891,73,73,B
91936,6,6,B
92018,NULL,221,C
92059,19,19,B
92127,NULL,65,B
92195,69,69,B
92267,260,260,C
92411,NULL,249,C
92558,NULL,84,B
92584,NULL,22,C
92807,17,17,C
93037,55,55,B
93096,6,6,AA
93109,NULL,205,C
93178,NULL,120,C
93206,NULL,36,B
93326,NULL,15,C
93462,NULL,39,C
93549,59,59,B
93618,NULL,213,C
93644,10,10,A
93871,134,134,B
93947,28,28,B
94061,19,19,C
94133,NULL,114,C
94242,NULL,148,C
94323,NULL,326,C
94440,NULL,258,C
94495,NULL,53,B
94496,43,43,B
94504,5,5,C
94549,NULL,5,B
94594,NULL,11,B
94801,NULL,78,C
94819,9,9,B
94862,NULL,108,B
94871,NULL,182,C
94876,NULL,250,C
94978,14,14,A
94997,40,40,B
95099,47,47,B
95168,21,21,C
95277,126,126,C
95504,15,15,A
95628,12,12,B
95646,40,40,B
95649,NULL,218,C
95704,NULL,262,C
95872,41,41,A
95935,21,21,A
96055,NULL,112,B
96067,12,12,AA
96070,NULL,124,B
96117,NULL,34,C
96123,NULL,148,C
96207,NULL,306,C
96225,6,6,A
